area	status	evidence	notes
selector_ast_authority	covered	scripts/check_selector_ast_contract.sh; make selector-ast-contract	No private lql_node/lql_term/LQL_NODE vocabulary may exist in implementation sources.
selector_text_parse_eval	covered	tests/direct_stream_test.c:run_sdk_selector_language_parity; make test	Public selector_parse output is consumed by stream_apply_spooled and filter_file_spooled.
selector_json_import_eval	covered	tests/direct_stream_test.c:run_sdk_selector_language_parity; make test	Public selector_parse_json output is consumed by stream_apply_spooled.
selector_public_traversal	covered	tests/selector_ast_test.c:test_string_terms; tests/selector_ast_test.c:test_range_date_in_exists; make test	Public selector node traversal covers parsed text selectors.
selector_builders	covered	tests/selector_ast_test.c:test_builders; make test	Public builders cover string, compound, exists, range, date, in, and failure cleanup.
selector_json_roundtrip	covered	tests/selector_ast_test.c:test_json_import_export; tests/direct_stream_test.c:run_sdk_selector_language_parity; make test	Selector AST JSON parses, serializes, round-trips, and evaluates through public liblql APIs.
selector_value_presence	covered	tests/selector_ast_test.c:test_string_terms; tests/direct_stream_test.c:run_scalar_json_semantic_regressions; make test	Omitted value, explicit empty value, scalar-looking values, and any lists are covered.
selector_range_union	covered	tests/selector_ast_test.c:test_range_date_in_exists; tests/direct_stream_test.c:run_scalar_json_semantic_regressions; make test	Numeric and datetime range-bound forms are covered.
selector_failure_cleanup	covered	tests/selector_ast_test.c:test_invalid_cases; tests/direct_stream_test.c:run_bare_selector_field_rejection; make test	Invalid text, JSON, NUL, bare-field, and builder failures are covered.
go_sdk_selector_text_parity	covered	scripts/check_direct_parity_smoke.sh; scripts/check_direct_parity_matrix.sh; make sdk-parity-gate; make direct-parity-matrix	Go-vs-C SDK text selector rows cover shorthand, full-form operators, logical wrappers, arrays, ranges, temporal, recursive, projection, mutation, callbacks, and large-input cases through public SDK execution.
go_sdk_selector_json_parity	covered	scripts/check_direct_parity_smoke.sh; scripts/check_direct_parity_matrix.sh; make sdk-parity-gate; make direct-parity-matrix	Go-vs-C SDK selector AST JSON rows cover representative executable node families, logical wrappers, selected-value callbacks, projection, mutation, project-mutation, temporal windows, and array wildcard selectors.
go_sdk_failure_parity	covered	scripts/check_direct_parity_smoke.sh; make sdk-parity-gate	Go and C both reject bare-field selector text and AST JSON as invalid executable SDK selectors.
json_scalar_semantics	intentional-divergence	docs/liblql-selector-ast-spec.md; tests/direct_stream_test.c:run_scalar_json_semantic_regressions; make test	liblql intentionally preserves typed JSON scalar semantics where Go stringifies numbers, booleans, and null.
strict_ndjson_semantics	intentional-divergence	docs/liblql-self-contained-execution-spec.md; tests/json_scan_test.c; make test	liblql rejects root arrays and keeps strict NDJSON framing where Go flattens arrays.
lua_selector_facade	covered	lua/tests/lql_smoke.lua; make lua-test	Lua selector userdata and query workflows are backed by liblql public APIs.
performance_rss_contract	covered	scripts/check_direct_perf_gate.sh; make perf-gate	Hard performance gate enforces C speedup >= 1.0x and C RSS below Go for representative accepted rows.
